"","id","about","category","description","general_info","likes","link","city","state","country","latitude","longitude","name","talking_about_count","username","website"
"1","108703412487935",NA,"Field of Study","Demography is the statistical study of populations, especially human beings. As a very general science, it can analyse any kind of dynamic living population, i.e., one that changes over time or space . Demography encompasses the study of the size, structure, and distribution of these populations, and spatial or temporal changes in them in response to birth, migration, ageing, and death. Based on the demographic research of the earth, earth's population up to the year 2050 and 2100 can be estimated by demographers. Demographics are quantifiable characteristics of a given population.Demographic analysis can cover whole societies, or groups defined by criteria such as education, nationality, religion, and ethnicity. Educational institutions usually treat demography as a field of sociology, though there are a number of independent demography departments.Formal demography limits its object of study to the measurement of population processes, while the broader field of social demography or population studies also analyses the relationships between economic, social, cultural, and biological processes influencing a population.",NA,NA,"https://www.facebook.com/pages/Demography/108703412487935",NA,NA,NA,NA,NA,"Demography",0,NA,NA
"2","294462534247","Department website: http://www.demog.berkeley.edu/


LinkedIn website:
http://www.linkedin.com/groups?gid=2761216&goback=%2Ehom&trk=NUS_JGRP-grp-nm","Education",NA,NA,"Manu Cartoons","https://www.facebook.com/Demography-and-SociologyDemography-UC-Berkeley-294462534247/","Berkeley","CA","United States",37.8707701,-122.2528854,"Demography and Sociology/Demography, U.C. Berkeley",5,NA,"http://www.demog.berkeley.edu"
"3","263839507027654","The Animal Demography Unit (http://adu.org.za) at the University of Cape Town believes that the best way to achieve biodiversity conservation is through enabling conservation decisions to be based on solid quantitative evidence. ","University","The Animal Demography Unit (formerly the Avian Demography Unit), or ADU as it is known in the vernacular, is a research unit in the Department of Biological Sciences at the University of Cape Town. Initially it was built on the nucleus of the South African Bird Ringing Unit (SAFRING) and the First Southern African Bird Atlas Project (SABAP1). The ADU was established in December 1991 within the Department of Statistical Sciences at the University of Cape Town. Over the years, the ADU has grown far beyond its starting point. In January 2008 the ADU was formally transferred to the Deparment of Zoology. At the start of 2013. the Departments of Botany and Zoology merged to form the Department of Biological Sciences.

Our values:

•	Conservation: 	Informing, influencing and motivating biodiversity policy development based on sound quantitative and scientific evidence through our commitment to long-term monitoring and analysis.
•	Partnership: Nurturing partnerships with people, organizations and governments on the African continent to benefit biodiversity conservation and mutual growth.
•	Empowering:	Enabling people to play a meaningful and living role in the science conversation by transforming Citizen Scientists into “ambassadors for biodiversity”.
•	Openness: Adopting an “Open Access” data sharing paradigm that maximizes the benefit derived from data collectively gathered, and thus advancing interdisciplinary scholarly research and informing conservation needs.
•	Innovation: Continuing the pioneering work that has made us leaders in Citizen Science.
•	Education: Providing training and research opportunities to the next generation of scientists, leaders and environmentalists.

Advisory Board

Ashwell Glasson (chair), Anusuya Chinsamy-Turan, Robert Morrell, Hermann Staude, Res Altwegg, John Donaldson, Peter Greaves, Sue Kuyper, Les Underhill","Donations to the Animal Demography Unit (or to a specific ADU project) are welcome, and greatly appreciated. Because donations go via the University of Cape Town, you get a tax certificate. Donations are transferred in full to the Animal Demography Unit. The UCT donations account details are: Standard Bank Rondebosch 025009; Swift Code SBZAZAJJ; Donations Account 071522387; Beneficiary reference 231454; Postal address: PO Box 1, Rondebosch 7701; Physical address: Southern Riverside Centre, Belmont Road, Rondebosch 7700. Please send emails to Abieda.Abrahams@uct.ac.za (donations office) and to
Sue.Kuyper@uct.ac.za (in the ADU) to be certain that the donation is received and transferred to the ADU.","108300902544145","https://www.facebook.com/animal.demography.unit/","Cape Town",NA,"South Africa",-33.95638,18.46143,"Animal Demography Unit",60,"animal.demography.unit","http://adu.org.za/"
"4","457568574373257","Posts related to demography with a lot of articles from other social sciences that examine or describe populations, societies, various groups of people...","Community",NA,NA,"California Budget & Policy Center","https://www.facebook.com/Demography-the-study-of-human-population-and-society-457568574373257/",NA,NA,NA,NA,NA,"Demography - the study of human population and society",75,NA,"https://twitter.com/DemoVisuals"
"5","189843711029010","SUDA is home to cutting-edge research and to the only comprehensive program of demographic training in Sweden. Master's application deadlines 15 January (non EU/EEA), 15 April (EU/EEA) - http://www.suda.su.se/courses_sub_master.asp","University","SUDA is home to the only comprehensive program of demographic training in Sweden and a site for cutting-edge demographic research. ","As part of the Department of Sociology at Stockholm University, SUDA offers training in demography through individual courses, multidisciplinary one- and two-year master’s degrees, and a doctoral degree in sociological demography. These programs are well-connected to other leading research schools throughout the world and prepare students for careers in academia, public service, and the private sector.

Research done at SUDA focuses particularly on family dynamics—childbearing, partnerships, households—and the cultural, social, economic, and political conditions that underlie them. Much of this research is cross-nationally comparative—engaging data from countries throughout Europe and the rest of the world—and interested in the interplay of social policy, gender relationships, and attitudes or values with demographic behavior.

Our research is supported by funding from Swedish and international sources. Major ongoing projects include The Linnaeus Center for Social Policy and Family Dynamics in Europe (SPaDE), Stockholm University SIMSAM Node for Demographic Research (SUNDEM), the Young Adult Panel Study (YAPS), and the Swedish Generations and Gender Survey (GGS).

For further information on the research fields of SUDA members, please consult the research profile page or the publications page. ","63632106944","https://www.facebook.com/www.suda.su.se/","Stockholm",NA,"Sweden",NA,NA,"Stockholm University Demography Unit - SUDA",3,"www.suda.su.se","www.suda.su.se"
"6","197000160437357","The Department of Demography provides training intended to increase the understanding of the size, distribution, composition and growth of human population","University","The Department of Demography provides training intended to increase the understanding of the size, distribution, composition and growth of human populations. Our program focuses on developing an understanding of the conceptual basis of population structure, processes, analytical methods, and related policy issues. The focus of the Ph.D. program is on the application of demographic analysis analyses to policy issues encountered in the public and private sectors.

The Department, through the College of Public Policy, provides financial support as many as 8 full time students. The Departmental Office and most faculty offices are located on the second floor of the University’s Main Building.

The Department of Demography was established and the Ph.D. in Applied Demography was approved by the Texas Higher Education Coordinating Board in January of 2006. The first class of students enrolled in the Fall Semester 2006. We have a current enrollment of about 32 students.",NA,"MTA4MzAwOTAyNTQ0MTQ1","https://www.facebook.com/UtsaDepartmentOfDemography/","San Antonio","TX","United States",29.422843,-98.502754,"UTSA Department of Demography",3,"UtsaDepartmentOfDemography","http://copp.utsa.edu/department/category/demography"
"7","342728635840049","PhD program in the field of Demography","Education","The EDSD admits a new cohort of about 18 students every year. The EDSD does not charge fees, and makes available a number of scholarships to enable students to attend the School's course program. The language of the school is English. The EDSD is an eleven-month program (from September to July). 

For school years 2005-06 and 2006-07, the School was located and operated at the Max Planck Institute for Demographic Research (MPIDR) in Rostock (Germany). For school years 2007-08 and 2008-09, the School was located at INED in Paris (France) and for school years 2009-2010 and 2010-2011, at the Center for Economic Demography at Lund University (Sweden). 

In school years 2011-2012 and 2012-2013, the preparatory courses (from September to mid-October) are offered at the Max Planck Institute for Demographic Research in Rostock (Germany) and from end of October to July the main location is the Centre for Demographic Studies of the Barcelona Autonomous University.
 
In school years 2013-14 and 2014-15 the main location of the EDSD will be the Institute of Statistics and Demography, Warsaw School of Economics, Poland.",NA,"NjM2MzIxMDY5NDQZD","https://www.facebook.com/EuropeanDoctoralSchoolOfDemography/",NA,NA,NA,NA,NA,"European Doctoral School of Demography",1,"EuropeanDoctoralSchoolOfDemography","www.eds-demography.org"
"8","392823214063334",NA,"Government Organization",NA,NA,"Kurisa Moya Nature Lodge","https://www.facebook.com/Demography/",NA,NA,NA,NA,NA,"Colorado State Demography Office",0,"Demography",NA
"9","171727339594891",NA,"Local Business",NA,NA,NA,"https://www.facebook.com/pages/Population-and-Demography-Class/171727339594891","Barrie","ON","Canada",44.41304,-79.67152,"Population and Demography Class",0,NA,NA
"10","28660734590","Please feel free to share news, facts, links, useful courses, seminars, opportunities and general comments relating to social statistics & demography.","Community","Welcome to this UoS forum for the Department of Social Statistics & Demography. Please feel free to share news, facts, links, useful courses, seminars, opportunities and general comments on any aspect of the multidisciplinary subject of population studies.

WHAT IS DEMOGRAPHY?

Demography is the scientific study of human population dynamics.  The size and the structure of populations are constantly changing in response to shifting fertility, mortality and migration trends. Demographic analyses provide deeper insights into how populations evolve over time and space at the national, regional, state and local levels. As a subject, demography extends beyond the traditional approaches to analysing vital statistics and include systematic examination of interaction between population and development addressing critical issues such as poverty, health, environment, economy and technology.   An understanding of demographic processes and statistical analysis is vital in the construction of policy in contemporary societies. 

The kinds of questions demographers seek to answer include the following, each of which relates to a critical issue that is shaping the modern world:

•	how will continued population growth affect our planet?
•	how can we stop mothers dying in Africa while giving birth?
•	how do we lift the poorest nations out of poverty?
•	how can we reduce uncertainty in population projections?
•	what can be done to tackle the HIV/AIDS epidemic?
•	why does the UK have one of the highest teenage pregnancy rates in Europe?
•	what is the impact of urbanisation on people and the planet?
WHAT IS SOCIAL STATISTICS?

Life is full of uncertainty. Decision-making, whether in the context of a commercial venture, medical practice or forming social policy, is inherently risky. To reduce the risk of making the wrong decision, we need information and hard evidence.  

It is statisticians who provide the data and analysis on which decisions can be made.  The academic researchers at the Division are internationally known for their expertise in the application of cutting-edge quantitative and qualitative methods. Much of our work has global impact, aiding our partners in the development of policy worldwide.
WHAT WILL I LEARN?

Our degrees in social statistics and demography help students to develop a comprehensive understanding of population issues in societies all over the world. We focus on the development of both qualitative and quantitative research skills – for which Southampton has an internationally renowned reputation. In particular, we have links with the United Nations (UN) UNAIDS (the Joint United Nations Programme on HIV and AIDS), the World Health Organisation (WHO), World Bank and the Office of National Statistics (ONS).


Our programmes will help you to understand the issues shaping local, national and global policy in the twenty first century. One of the distinctive features of our degree programmes is the practical focus – you will learn work-based skills that will prepare you for a range of professional careers.

WHY SOUTHAMPTON?

The University of Southampton Doctoral Training Centre (DTC) is one of 21 across the UK that has been accredited by the Economic and Social Research Council (ESRC).  The University currently directs the ESRC Census Programme and is proud to be only one of three universities in the UK that hosts three ESRC centres of research excellence.  These include the National Centre for Research Methods (NCRM), the Centre for Population Change (CPC) and the Third Sector Research Centre (TSRC). Coupled with the University’s reputation for excellence in research methods and advanced methodological techniques, the ESRC-DTC offers a unique academic environment for doctoral training within the social sciences.",NA,"116669925124807","https://www.facebook.com/UoSPopulationResearch/","Southampton",NA,"United Kingdom",NA,NA,"Social Statistics and Demography at the University of Southampton",5,"UoSPopulationResearch","http://www.southampton.ac.uk/demography/index.page?"
